"id";"nome";"endereco_id"
133;"COLEGIO DE SAO BENTO
                    ";146
134;"COLEGIO FREITAS MOURA
                    ";147
135;"COLEGIO HELENA DE CASTRO
                    ";148
136;"COLEGIO MAPLE BEAR PACAEMBU   UNIDADE II
                    ";149
137;"COLEGIO MARILLAC
                    ";150
138;"COLEGIO NOVA EPOCA  UNIDADE II
                    ";151
139;"COLEGIO NOVO PATIO
                    ";152
140;"COLEGIO PALAVRA VIVA  UNIDADE II
                    ";153
141;"COLEGIO POLIEDRO DE EDUCACAO
                    ";154
142;"COLEGIO PONTO DE ENSINO
                    ";155
143;"COLEGIO SAO PAULO
                    ";156
144;"COLEGIO SEMEAR  INSTITUTO DE ENSINO CARVALHO
                    ";157
145;"COLEGIO SILVIO GONZALEZ UNIDADE I
                    ";158
146;"COLEGIO SOLUCOES
                    ";159
147;"COLEGIO TEMA NOVO ENSINO BILINGUE
                    ";160
148;"COLEGIO TEMA NOVO ENSINO BILINGUE  UNIDADE II
                    ";161
149;"COLEGIO TRILHA
                    ";162
150;"COLOMBO DE ALMEIDA PROFESSOR
                    ";163
151;"COMBATE ESC TEC DE FORM DE BOMBEIROS E SEGU DO TRABALHO
                    ";164
152;"CONJUNTO HOSPITALAR DO MANDAQUI CLASSE HOSPITALAR
                    ";165
153;"CONJUNTO HOSPITALAR DO MANDAQUI CLASSE HOSPITALAR
                    ";165
154;"CORACAO DE JESUS CRECHE
                    ";166
155;"CORACAO DE JESUS LICEU
                    ";167
156;"CORACAO DE MARIA CRECHE
                    ";168
157;"CORUJA ESCOLA DE EDUCACAO INFANTIL
                    ";169
158;"CRPCONV  LAR NOSSA SENHORA DA CONSOLACAO
                    ";170
159;"DAILY RESENDE FRANCA PROFESSOR
                    ";171
160;"DEL RIOS SILVA COLEGIO
                    ";172
161;"DELTA COLEGIO
                    ";173
